A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,Year,Race,Gender,Orientation,Transgender
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Third,White,Male,Homosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Third,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,Fourth,"Asian, Hispanic or Latinx",Female,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,Third,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,"Hispanic or Latinx, White",Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Third,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,Black,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Bisexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,Asian,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Asian,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,"Black, Hispanic or Latinx",Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Asian,Female,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Asian,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,,,,,
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,Middle Eastern,Female,Homosexual,No
I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Asian,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,First,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,"Middle Eastern, White",Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,Asian,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Nonbinary,Homosexual,Yes
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Second,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Third,Asian,Male,Homosexual,No
I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Third,,,,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Third,White,Male,Homosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Hispanic or Latinx,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Nonbinary,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,"Asian, White",Male,Homosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Third,"Asian, White",Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Male,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,White,Female,Homosexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,"Hispanic or Latinx, Middle Eastern",,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Asian,Nonbinary,Bisexual,Yes
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,White,Male,Heterosexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,First,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,Hispanic or Latinx,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Black,Female,Bisexual/Pansexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Third,"Black, White",Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,Hispanic or Latinx,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Nonbinary,Bisexual,Yes
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Third,Black,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Hispanic or Latinx,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Third,White,Male,Heterosexual,No
